,ds,y,Max,Avg,Min,Rain
0,2014-04-01,14546.0,58,46.2,39,0.02
1,2014-04-02,17474.0,53,46.3,41,0.0
2,2014-04-03,20701.0,63,51.1,43,0.0
3,2014-04-04,26714.0,47,41.9,39,0.09
4,2014-04-05,19521.0,53,44.8,39,0.17
5,2014-04-06,13445.0,59,45.4,37,0.0
6,2014-04-07,19550.0,52,45.0,41,0.0
7,2014-04-08,16188.0,64,51.3,42,0.99
8,2014-04-09,16843.0,58,50.8,45,0.01
9,2014-04-10,20041.0,56,50.5,43,0.0
10,2014-04-11,20420.0,72,60.5,50,0.0
11,2014-04-12,18170.0,69,58.4,50,0.0
12,2014-04-13,12112.0,72,60.5,51,0.0
13,2014-04-14,12674.0,70,61.0,55,0.0
14,2014-04-15,20641.0,60,52.2,35,0.1
15,2014-04-16,17717.0,47,38.6,32,0.82
16,2014-04-17,20973.0,46,40.8,37,0.0
17,2014-04-18,18074.0,46,40.1,35,0.0
18,2014-04-19,14602.0,65,53.5,42,0.0
19,2014-04-20,11017.0,55,49.7,45,0.0
20,2014-04-21,13162.0,62,50.8,41,0.0
21,2014-04-22,16975.0,65,58.9,50,0.0
22,2014-04-23,20346.0,62,52.6,45,0.0
23,2014-04-24,23352.0,60,51.0,43,0.0
24,2014-04-25,25095.0,59,51.6,45,0.0
25,2014-04-26,24925.0,64,50.4,45,0.7
26,2014-04-27,14677.0,56,52.0,47,0.06
27,2014-04-28,15475.0,63,54.0,47,0.0
28,2014-04-29,22835.0,51,47.6,43,0.0
29,2014-04-30,36251.0,49,45.7,42,0.55
30,2014-05-01,23375.0,76,60.5,48,4.88
31,2014-05-02,24235.0,67,62.0,55,0.01
32,2014-05-03,22234.0,68,61.0,55,0.0
33,2014-05-04,13918.0,63,58.5,55,0.03
34,2014-05-05,17859.0,67,58.0,50,0.0
35,2014-05-06,19300.0,66,59.3,53,0.0
36,2014-05-07,21891.0,68,59.0,52,0.0
37,2014-05-08,27513.0,58,54.3,53,0.32
